date,equity,cash,positions
2025-12-22,600.0,600.0,0
2025-12-23,601.1500478889129,480.0,1
2025-12-24,601.4682798250857,307.2,3
2025-12-25,307.2,307.2,3
2025-12-26,602.8391215048808,602.8391215048808,0
2025-12-29,602.8391215048808,602.8391215048808,0
2025-12-30,602.5431063052357,482.2712972039047,1
2025-12-31,601.884056169376,482.2712972039047,1
2026-01-01,482.2712972039047,482.2712972039047,1
2026-01-02,607.0838809494604,607.0838809494604,0
2026-01-05,608.9994936974177,310.8269470461238,3
2026-01-06,604.1060503637959,310.8269470461238,3
2026-01-07,604.2681233950258,310.8269470461238,3
2026-01-08,605.4655221854545,310.8269470461238,3
2026-01-09,605.6203840994407,605.6203840994407,0
2026-01-12,614.2179428384188,310.0776366589136,3
2026-01-13,612.9120881487004,310.0776366589136,3
2026-01-14,602.487790550393,310.0776366589136,3
2026-01-15,600.7562877198518,310.0776366589136,3
2026-01-16,603.2571707803675,603.2571707803675,0
2026-01-19,603.2571707803675,603.2571707803675,0
2026-01-20,603.2571707803675,603.2571707803675,0
2026-01-21,597.7285477996868,386.08458929943515,2
2026-01-22,599.4554411065137,308.86767143954813,3
2026-01-23,598.776248651768,598.776248651768,0
2026-01-26,599.5437771903198,306.5734393097052,3
2026-01-27,602.1326837434981,306.5734393097052,3
2026-01-28,600.8782602178183,306.5734393097052,3
2026-01-29,594.8776907594759,306.5734393097052,3
2026-01-30,591.9020852052139,591.9020852052139,0
2026-02-02,586.8053674362618,303.05386762506953,3
2026-02-03,580.7378561810656,303.05386762506953,3
2026-02-04,578.2748376813443,303.05386762506953,3
2026-02-05,567.3924516735192,303.05386762506953,3
2026-02-06,573.9039095620471,573.9039095620471,0
2026-02-09,581.4552404619654,293.83880169576815,3
2026-02-10,578.8236939645901,293.83880169576815,3
2026-02-11,578.756342921629,293.83880169576815,3
2026-02-12,571.853451488847,293.83880169576815,3
2026-02-13,569.6084707715498,569.6084707715498,0
2026-02-16,291.63953703503347,291.63953703503347,3
2026-02-17,573.6932896085314,291.63953703503347,3
2026-02-18,574.3782720757356,291.63953703503347,3
2026-02-19,574.7281696587404,291.63953703503347,3
2026-02-20,575.6101031162378,575.6101031162378,0
2026-02-23,569.1114712847266,294.7123727955138,3
2026-02-24,573.1166861025301,294.7123727955138,3
2026-02-25,575.6810273534377,294.7123727955138,3
2026-02-26,574.2560397050373,294.7123727955138,3
2026-02-27,573.4690454977954,573.4690454977954,0
2026-03-02,578.7801306093191,293.6161512948712,3
2026-03-03,580.9380529222128,293.6161512948712,3
2026-03-04,582.4132166672596,293.6161512948712,3
