date,equity,cash,positions
2026-01-19,600.0,600.0,0
2026-01-20,600.0,600.0,0
2026-01-21,600.0,600.0,0
2026-01-22,597.5327471475434,384.0,2
2026-01-23,599.7635651970552,599.7635651970552,0
2026-01-26,601.129532079904,307.07894538089226,3
2026-01-27,600.4203402500158,307.07894538089226,3
2026-01-28,598.7530870313049,307.07894538089226,3
2026-01-29,583.0870967942966,307.07894538089226,3
2026-01-30,580.7250291272145,580.7250291272145,0
2026-02-02,580.7250291272145,580.7250291272145,0
2026-02-03,575.9485985434688,297.3312149131338,3
2026-02-04,561.8888143599788,297.3312149131338,3
2026-02-05,553.3835451838233,297.3312149131338,3
2026-02-06,562.7695710534173,562.7695710534173,0
2026-02-09,569.4029505262155,288.13802037934965,3
2026-02-10,566.8672021495076,288.13802037934965,3
2026-02-11,567.0060072136744,288.13802037934965,3
2026-02-12,559.9159723201965,288.13802037934965,3
2026-02-13,555.91069280897,555.91069280897,0
2026-02-16,555.91069280897,555.91069280897,0
2026-02-17,555.91069280897,555.91069280897,0
2026-02-18,557.2569511693079,444.728554247176,1
2026-02-19,557.4188996299862,444.728554247176,1
2026-02-20,556.9667763492178,556.9667763492178,0
2026-02-23,552.7727793978286,356.4587368634994,2
2026-02-24,557.4882551938529,356.4587368634994,2
2026-02-25,560.9328363238966,285.1669894907995,3
2026-02-26,561.3032494649171,285.1669894907995,3
2026-02-27,560.3617094940435,560.3617094940435,0
2026-03-02,560.3617094940435,560.3617094940435,0
2026-03-03,560.0588420983743,358.6314940761878,2
2026-03-04,565.1483938407698,286.9051952609502,3
