date,equity,cash,positions
2026-01-05,600.0,600.0,0
2026-01-06,596.0175962099925,307.2,3
2026-01-07,593.2461386300929,307.2,3
2026-01-08,586.0176310817045,307.2,3
2026-01-09,592.4406391437819,592.4406391437819,0
2026-01-12,600.851094485325,303.3296072416164,3
2026-01-13,599.5736583102594,303.3296072416164,3
2026-01-14,589.3762183067338,303.3296072416164,3
2026-01-15,587.6823971102585,303.3296072416164,3
2026-01-16,590.1288549866706,590.1288549866706,0
2026-01-19,590.1288549866706,590.1288549866706,0
2026-01-20,590.1288549866706,590.1288549866706,0
2026-01-21,584.7205480368807,377.6824671914692,2
2026-01-22,586.4098600238788,302.1459737531753,3
2026-01-23,585.7454484179362,585.7454484179362,0
2026-01-26,586.4962737036751,299.9016695899833,3
2026-01-27,589.028839471469,299.9016695899833,3
2026-01-28,587.801715195565,299.9016695899833,3
2026-01-29,581.9317324498335,299.9016695899833,3
2026-01-30,579.0208831741305,579.0208831741305,0
2026-02-02,574.0350821478597,296.4586921851548,3
2026-02-03,568.0996144185399,296.4586921851548,3
2026-02-04,565.6901970797102,296.4586921851548,3
2026-02-05,555.0446377637501,296.4586921851548,3
2026-02-06,561.4143907881196,561.4143907881196,0
2026-02-09,568.8013867053495,287.4441680835172,3
2026-02-10,566.2271089403105,287.4441680835172,3
2026-02-11,566.1612236167869,287.4441680835172,3
2026-02-12,559.4085555762969,287.4441680835172,3
2026-02-13,557.2124309973682,557.2124309973682,0
2026-02-16,285.2927646706525,285.2927646706525,3
2026-02-17,561.2083544274662,285.2927646706525,3
2026-02-18,561.8784300413777,285.2927646706525,3
2026-02-19,562.2207130178969,285.2927646706525,3
2026-02-20,563.0834534985017,563.0834534985017,0
2026-02-23,556.7262474055369,288.2987281912329,3
2026-02-24,560.6442991899003,288.2987281912329,3
2026-02-25,563.1528342550296,288.2987281912329,3
2026-02-26,561.7588577387905,288.2987281912329,3
2026-02-27,560.9889904037697,560.9889904037697,0
2026-03-02,566.1844936276201,287.22636308673003,3
2026-03-03,568.2954544008021,287.22636308673003,3
2026-03-04,569.7385150620723,287.22636308673003,3
