ticker,grade,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,components
ORCL,A-,2025-11-17,217.63470596872622,2025-11-21,198.23597717285156,0.5513826458232439,-10.69612240907692,-8.913435340897435,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.081437876006715, 'earnings': 0, 'social': 2.490644894549474}"
TSLA,A-,2025-11-17,398.739990234375,2025-11-21,391.0899963378906,0.24075839482157846,-1.8418002509124505,-1.918541928033803,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 9.871617676977069, 'earnings': 0, 'social': 3.542776969279779}"
AVGO,A-,2025-11-17,339.17105383295115,2025-11-21,339.5503234863281,0.22643441747781232,0.08587970302942824,0.11182252998623468,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.16328773365518, 'earnings': 0, 'social': 1.3668971138708064}"
ADBE,A-,2025-11-24,325.0,2025-11-28,320.1300048828125,0.3615679735649477,-1.7608342657926743,-1.4984600360576923,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.07643134688755, 'earnings': 0, 'social': 1.207847156386304}"
GOOGL,A-,2025-11-25,325.9967549915166,2025-11-28,319.970703125,0.2883699659198533,-1.7377323713786552,-1.8485005676431958,3,FRIDAY_CLOSE,"{'momentum': 20, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 9.88997737400344, 'earnings': 5, 'social': 5.098071244662753}"
AMD,A-,2025-11-25,201.47999572753906,2025-11-28,217.52999877929688,0.3732685134816571,5.9909607805056995,7.966052904558424,3,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 9.136980796691667, 'earnings': 0, 'social': 4.22358314471342}"
TSLA,A,2025-12-04,449.94000244140625,2025-12-05,455.0,0.262275124676523,1.3271114905430776,1.124593841653964,1,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.712541348020943, 'earnings': 0, 'social': 3.6330188294788472}"
ORCL,A-,2025-12-04,207.31199476152153,2025-12-05,217.00636291503906,0.4553834731001409,4.414655039260213,4.676221539747043,1,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.361760262918295, 'earnings': 0, 'social': 2.6601869392198267}"
ORCL,A,2025-12-12,195.8522828616473,2025-12-12,189.4691619873047,0.6083994620956715,-3.8834873064416957,-3.2591506114083604,0,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.583073192201567, 'earnings': 0, 'social': 4.662885599446495}"
AMD,A-,2025-12-22,220.0,2025-12-26,214.99000549316406,0.5380896640088508,-2.695826260869538,-2.2772702303799717,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.587975597572909, 'earnings': 0, 'social': 3.3475670226443515}"
NVDA,A,2025-12-24,187.94000244140625,2025-12-26,190.52999877929688,0.5039043292291293,1.3051103673506768,1.378097426969069,2,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.979778987737001, 'earnings': 0, 'social': 4.4444342251317535}"
AVGO,A-,2026-01-06,343.6000061035156,2026-01-09,344.9700012207031,0.34371822120300893,0.47089228473649525,0.39871801305345866,3,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 8.466094243548909, 'earnings': 0, 'social': 5.7140341770091645}"
AMD,A-,2026-01-06,222.7100067138672,2026-01-09,203.1699981689453,0.42423449092694854,-8.289545577763157,-8.77374520940428,3,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 6.888254968668889, 'earnings': 5, 'social': 0.21020541796460912}"
TSLA,A-,2026-01-07,435.8999938964844,2026-01-09,445.010009765625,0.1733998947382995,1.5796757927732223,2.0899325525808634,2,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 9.265484085425106, 'earnings': 0, 'social': 5.410215846585508}"
ORCL,A-,2026-01-12,197.60000610351562,2026-01-16,191.08999633789062,0.5913653026001283,-3.8497938949786183,-3.2945392533108713,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.710524104848934, 'earnings': 0, 'social': 2.6492232825647193}"
AVGO,A-,2026-01-13,352.8800048828125,2026-01-16,351.7099914550781,0.26491449962884367,-0.3099535217672802,-0.3315612705579403,3,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.89088818209218, 'earnings': 0, 'social': 4.393374938915919}"
ORCL,A-,2026-01-13,205.0,2026-01-16,191.08999633789062,0.3648118240880163,-5.074533809045108,-6.785367640053354,3,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.576343171317868, 'earnings': 0, 'social': 1.2558495080980108}"
GOOGL,A-,2026-01-22,334.45001220703125,2026-01-23,327.92999267578125,0.3438688203331353,-2.2420314247599396,-1.9494750465770583,1,FRIDAY_CLOSE,"{'momentum': 20, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.013281778749047, 'earnings': 0, 'social': 5.445023190396185}"
NFLX,A-,2026-01-22,85.0199966430664,2026-01-23,86.12000274658203,1.0821635916158427,1.1903865557798172,1.2938204504214519,1,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.231128290446977, 'earnings': 0, 'social': 3.9250120393358854}"
AMD,A-,2026-01-22,251.75,2026-01-23,259.67999267578125,0.29237114574435796,2.318501044362531,3.1499474382447863,1,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.781131283760802, 'earnings': 0, 'social': 3.208457828496736}"
NFLX,A-,2026-01-26,86.91999816894531,2026-01-30,83.48999786376953,1.326050446631177,-4.548353436623419,-3.946157820331442,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 5.716989512976366, 'earnings': 0, 'social': 5.465876922763086}"
AMD,A-,2026-02-03,251.5500030517578,2026-02-06,208.44000244140625,0.4545840998549226,-19.59712082220183,-17.13774600967961,3,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 9.299168339380525, 'earnings': 0, 'social': 3.9579172840592944}"
ORCL,A-,2026-02-03,158.25999450683594,2026-02-06,142.82000732421875,0.5780393563749154,-8.924920253476984,-9.756089800666755,3,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.845040559132963, 'earnings': 0, 'social': 5.059279814827473}"
AMZN,A-,2026-02-09,208.97000122070312,2026-02-13,198.7899932861328,0.5199130155332878,-5.292718623415248,-4.871516425852303,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 9.192130677637103, 'earnings': 0, 'social': 4.378462233408751}"
AMD,A-,2026-02-09,206.89999389648438,2026-02-13,207.32000732421875,0.42009174169433056,0.17644417239193944,0.20300311267506124,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 5.5086558132468095, 'earnings': 0, 'social': 5.390913420280932}"
NVDA,A-,2026-02-09,184.25999450683594,2026-02-13,182.80999755859375,0.37736668352845704,-0.547180539484538,-0.7869298770593383,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.401118144717895, 'earnings': 0, 'social': 0.09156609962459572}"
AVGO,A-,2026-02-18,329.5199890136719,2026-02-20,332.6499938964844,0.326273173334223,1.0212366256668473,0.9498679859092357,2,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.670437285555318, 'earnings': 0, 'social': 5.042985800933087}"
ORCL,A-,2026-02-23,145.69000244140625,2026-02-27,145.39999389648438,0.7393628801743239,-0.2144215530486023,-0.19905864511088256,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 5.363550138308492, 'earnings': 5, 'social': 2.585596726894215}"
GOOGL,A-,2026-02-23,319.04998779296875,2026-02-27,311.760009765625,0.27009630826271747,-1.9689961525018744,-2.2849015221007343,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 8.129378846895621, 'earnings': 0, 'social': 3.1889836993759175}"
AMZN,A-,2026-02-23,208.10000610351562,2026-02-27,210.0,0.33128004354321877,0.6294300607591936,0.913019625544488,4,FRIDAY_CLOSE,"{'momentum': 20, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.321051409517434, 'earnings': 0, 'social': 5.967223384230956}"
ADBE,A-,2026-03-02,257.6000061035156,2026-03-04,273.1199951171875,0.4169525611174212,6.471099167764728,6.024840312866772,2,END_OF_PERIOD,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 5.044976644527655, 'earnings': 0, 'social': 5.341523113945813}"
ORCL,A-,2026-03-03,144.75,2026-03-04,152.3699951171875,0.5936137190395808,4.5233336405771185,5.264245331390328,1,END_OF_PERIOD,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 8.709170730400299, 'earnings': 0, 'social': 3.856270701080782}"
TSLA,A-,2026-03-03,395.0899963378906,2026-03-04,405.94000244140625,0.17398686198573077,1.8877585144767095,2.7462112946632122,1,END_OF_PERIOD,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.582977897375397, 'earnings': 0, 'social': 1.799979367385079}"
