ticker,grade,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason
AMD,A+,2025-11-06,253.47000122070312,2025-11-07,233.5399932861328,0.47342880586295805,-9.435439857302901,-7.862866547752419,1,FRIDAY_CLOSE
TSLA,A+,2025-11-06,461.9599914550781,2025-11-07,429.5199890136719,0.20781020386120433,-6.741363520606599,-7.022253667298541,1,FRIDAY_CLOSE
AVGO,A+,2025-11-06,359.42227629198584,2025-11-07,348.7626647949219,0.21367623841325176,-2.277705687639279,-2.9657626141136437,1,FRIDAY_CLOSE
NVDA,A-,2025-11-10,195.09914200543773,2025-11-14,190.15940856933594,0.5961538169329752,-2.944840942563523,-2.5319093591729436,4,FRIDAY_CLOSE
TSLA,A-,2025-11-10,439.6000061035156,2025-11-14,404.3500061035156,0.21166350604554296,-7.461138588105389,-8.018653209868118,4,FRIDAY_CLOSE
GOOGL,A-,2025-11-10,284.23409016650885,2025-11-14,276.22930908203125,0.2618891449509202,-2.0963652737331384,-2.816263552267172,4,FRIDAY_CLOSE
NVDA,A+,2025-11-17,185.95964506857126,2025-11-21,178.8700408935547,0.6120071329671753,-4.33888832502401,-3.812442302953598,4,FRIDAY_CLOSE
TSLA,A+,2025-11-17,398.739990234375,2025-11-21,391.0899963378906,0.2283365240774859,-1.7467730155372245,-1.918541928033803,4,FRIDAY_CLOSE
AVGO,A+,2025-11-17,339.17105383295115,2025-11-21,339.5503234863281,0.21475158885616544,0.08144876066763357,0.11182252998623468,4,FRIDAY_CLOSE
ORCL,A+,2025-11-24,196.34098690645942,2025-11-28,201.41757202148438,0.5735317341746865,2.9115826647056626,2.585596209437175,4,FRIDAY_CLOSE
ADBE,A+,2025-11-24,325.0,2025-11-28,320.1300048828125,0.27718839805546114,-1.349906145071121,-1.4984600360576923,4,FRIDAY_CLOSE
TSLA,A+,2025-11-24,402.1700134277344,2025-11-28,430.1700134277344,0.1792002911409752,5.0176081519473055,6.962229670321081,4,FRIDAY_CLOSE
NVDA,A+,2025-12-02,181.74987648908228,2025-12-05,182.41000366210938,0.6268155216666178,0.41377795832728653,0.36320639429251345,3,FRIDAY_CLOSE
AMD,A+,2025-12-02,221.7899932861328,2025-12-05,217.97000122070312,0.4109243774488014,-1.5697278613460552,-1.722346445315722,3,FRIDAY_CLOSE
ADBE,A+,2025-12-02,321.6199951171875,2025-12-05,346.260009765625,0.2266996239018535,5.585882053736942,7.66121976945479,3,FRIDAY_CLOSE
ADBE,A+,2025-12-08,347.45001220703125,2025-12-12,356.42999267578125,0.33043495766545183,2.9672994660279906,2.5845388266670133,4,FRIDAY_CLOSE
NFLX,A-,2025-12-09,97.02999877929688,2025-12-12,95.19000244140625,0.9465907988776586,-1.741723603415853,-1.8963169752025408,3,FRIDAY_CLOSE
NFLX,A+,2025-12-11,93.9000015258789,2025-12-12,95.19000244140625,0.7825150378450598,1.0094451152340411,1.3738028696110496,1,FRIDAY_CLOSE
NVDA,A-,2025-12-15,177.94000244140625,2025-12-19,180.99000549316406,0.6477275075232907,1.975570874653518,1.7140626109422168,4,FRIDAY_CLOSE
AMD,A-,2025-12-15,212.27999877929688,2025-12-19,213.42999267578125,0.43435701877835514,0.4995079204902575,0.541734455953149,4,FRIDAY_CLOSE
AVGO,A-,2025-12-15,361.198890766926,2025-12-19,339.7099914550781,0.20422057713470973,-4.388475419455243,-5.949325942341894,4,FRIDAY_CLOSE
AMD,A+,2025-12-22,220.0,2025-12-26,214.99000549316406,0.522154340659991,-2.615990378427096,-2.2772702303799717,4,FRIDAY_CLOSE
AVGO,A+,2025-12-22,346.0299987792969,2025-12-26,352.1300048828125,0.26558149374434176,1.6200487328212816,1.7628547019145298,4,FRIDAY_CLOSE
NVDA,A-,2025-12-22,183.9199981689453,2025-12-26,190.52999877929688,0.39973538438921313,2.6422511347918154,3.593954260634423,4,FRIDAY_CLOSE
AMD,A-,2025-12-30,215.8699951171875,2026-01-02,223.47000122070312,0.5336694281226803,4.055890910992063,3.520640327707366,3,FRIDAY_CLOSE
TSLA,A-,2026-01-05,447.989990234375,2026-01-09,445.010009765625,0.2589664893283405,-0.77171508025921,-0.665189074244932,4,FRIDAY_CLOSE
NFLX,A-,2026-01-05,90.91999816894531,2026-01-09,89.45999908447266,1.020804200278654,-1.4903731978326769,-1.6058063285040127,4,FRIDAY_CLOSE
ADBE,A-,2026-01-05,330.1099853515625,2026-01-09,333.95001220703125,0.22492265036174278,0.8637090177923002,1.1632568010262323,4,FRIDAY_CLOSE
ORCL,A+,2026-01-12,197.60000610351562,2026-01-16,191.08999633789062,0.5857020020158523,-3.812925752869312,-3.2945392533108713,4,FRIDAY_CLOSE
TSLA,A+,2026-01-12,441.2300109863281,2026-01-16,437.5,0.20984015826930658,-0.7827060957173461,-0.8453665647062486,4,FRIDAY_CLOSE
AVGO,A+,2026-01-12,340.95001220703125,2026-01-16,351.7099914550781,0.21724656876050896,2.337568571572465,3.1558817606122314,4,FRIDAY_CLOSE
AVGO,A-,2026-01-21,335.510009765625,2026-01-23,320.04998779296875,0.3436055651463377,-5.312149587089349,-4.6079167603542,2,FRIDAY_CLOSE
ORCL,A-,2026-01-21,179.67999267578125,2026-01-23,177.16000366210938,0.5132818843143673,-1.293464709389004,-1.4024872642437167,2,FRIDAY_CLOSE
AMD,A+,2026-01-22,251.75,2026-01-23,259.67999267578125,0.29307324000545526,2.3240686467107405,3.1499474382447863,1,FRIDAY_CLOSE
MSFT,A+,2026-01-26,464.25036221183507,2026-01-30,429.31011962890625,0.24647648489201393,-8.611948173114557,-7.526163774318341,4,FRIDAY_CLOSE
NFLX,A+,2026-01-26,86.91999816894531,2026-01-30,83.48999786376953,1.0531688890780455,-3.6123696109393344,-3.946157820331442,4,FRIDAY_CLOSE
META,A+,2026-01-26,665.1300048828125,2026-01-30,716.5,0.11010351328400207,5.656016939784376,7.723301420785887,4,FRIDAY_CLOSE
ORCL,A+,2026-02-02,170.9199981689453,2026-02-06,142.82000732421875,0.6617899510340338,-18.59629156518839,-16.44043479157496,4,FRIDAY_CLOSE
AAPL,A-,2026-02-02,259.7869174093499,2026-02-06,277.8599853515625,0.34832589214869353,6.295317514835163,6.956881479037157,4,FRIDAY_CLOSE
MSFT,A-,2026-02-02,429.2602343395754,2026-02-06,400.22650146484375,0.16864457042361172,-4.896381408453011,-6.763667014113377,4,FRIDAY_CLOSE
NVDA,A+,2026-02-09,184.25999450683594,2026-02-13,182.80999755859375,0.5952114913535037,-0.8630548460212616,-0.7869298770593383,4,FRIDAY_CLOSE
AMD,A+,2026-02-09,206.89999389648438,2026-02-13,207.32000732421875,0.4240644537943247,0.1781127648184598,0.20300311267506124,4,FRIDAY_CLOSE
AMZN,A+,2026-02-09,208.97000122070312,2026-02-13,198.7899932861328,0.3358910174254018,-3.4193732225414855,-4.871516425852303,4,FRIDAY_CLOSE
NVDA,A+,2026-02-17,181.75,2026-02-20,189.82000732421875,0.5989150099942413,4.833248517238073,4.440169091729711,3,FRIDAY_CLOSE
AMD,A-,2026-02-17,202.14999389648438,2026-02-20,200.14999389648438,0.43078033679167554,-0.8615606735833511,-0.9893643632876618,3,FRIDAY_CLOSE
AAPL,A-,2026-02-17,258.04998779296875,2026-02-20,264.5799865722656,0.2699701501959474,1.7629047512261304,2.530516988257266,3,FRIDAY_CLOSE
GOOGL,A+,2026-02-23,319.04998779296875,2026-02-27,311.760009765625,0.3447726870210955,-2.5133853128120496,-2.2849015221007343,4,FRIDAY_CLOSE
ORCL,A+,2026-02-23,145.69000244140625,2026-02-27,145.39999389648438,0.6040207000733318,-0.17517116433095922,-0.19905864511088256,4,FRIDAY_CLOSE
AMZN,A+,2026-02-23,208.10000610351562,2026-02-27,210.0,0.3382980285913868,0.6427641895163315,0.913019625544488,4,FRIDAY_CLOSE
AAPL,A+,2026-03-02,262.4100036621094,2026-03-04,262.5199890136719,0.4176310414942024,0.04593329692215287,0.041913551323341305,2,END_OF_PERIOD
ADBE,A+,2026-03-02,257.6000061035156,2026-03-04,273.1199951171875,0.34034335568723745,5.282125141142145,6.024840312866772,2,END_OF_PERIOD
NVDA,A+,2026-03-02,175.00999450683594,2026-03-04,183.0399932861328,0.40076545685006054,3.2181461292903406,4.588308685983772,2,END_OF_PERIOD
