date,equity,cash,positions
2025-12-05,600.0,600.0,0
2025-12-08,597.1230334849272,480.0,1
2025-12-09,598.6023766854664,384.0,2
2025-12-10,594.2338425137457,384.0,2
2025-12-11,598.2758076223095,307.2,3
2025-12-12,602.3360628996672,602.3360628996672,0
2025-12-15,594.3811741115433,308.3960642046296,3
2025-12-16,596.3885896252583,308.3960642046296,3
2025-12-17,583.5219567372759,308.3960642046296,3
2025-12-18,587.8500298488135,308.3960642046296,3
2025-12-19,600.3361645046598,600.3361645046598,0
2025-12-22,596.2126308425352,307.3721162263858,3
2025-12-23,600.6762530408193,307.3721162263858,3
2025-12-24,600.7518000226314,307.3721162263858,3
2025-12-25,307.3721162263858,307.3721162263858,3
2025-12-26,602.0569011586682,602.0569011586682,0
2025-12-29,602.0569011586682,602.0569011586682,0
2025-12-30,601.7612700567097,481.6455209269346,1
2025-12-31,601.1030750783987,481.6455209269346,1
2026-01-01,481.6455209269346,481.6455209269346,1
2026-01-02,606.2961527702557,606.2961527702557,0
2026-01-05,608.2092798944147,310.42363021837093,3
2026-01-06,603.3221861004995,310.42363021837093,3
2026-01-07,603.484048832135,310.42363021837093,3
2026-01-08,604.6798939249635,310.42363021837093,3
2026-01-09,604.8345548962179,604.8345548962179,0
2026-01-12,613.42095778095,309.6752921068636,3
2026-01-13,612.1167975169433,309.6752921068636,3
2026-01-14,601.706026077416,309.6752921068636,3
2026-01-15,599.9767699768817,309.6752921068636,3
2026-01-16,602.4744079898487,602.4744079898487,0
2026-01-19,602.4744079898487,602.4744079898487,0
2026-01-20,602.4744079898487,602.4744079898487,0
2026-01-21,596.9529587330154,385.58362111350317,2
2026-01-22,598.6776112909722,308.46689689080256,3
2026-01-23,597.9993001296566,597.9993001296566,0
2026-01-26,598.7658327533486,306.1756416663842,3
2026-01-27,601.3513800431546,306.1756416663842,3
2026-01-28,600.0985842081298,306.1756416663842,3
2026-01-29,594.1058008528316,306.1756416663842,3
2026-01-30,591.1340563273645,591.1340563273645,0
2026-02-02,586.0439518590355,302.6606368396107,3
2026-02-03,579.9843135679276,302.6606368396107,3
2026-02-04,577.5244909841892,302.6606368396107,3
2026-02-05,566.6562255326569,302.6606368396107,3
2026-02-06,573.1592344093967,573.1592344093967,0
2026-02-09,580.7007669991851,293.4575280176111,3
2026-02-10,578.0726350930977,293.4575280176111,3
2026-02-11,578.0053714422023,293.4575280176111,3
2026-02-12,571.111436929988,293.4575280176111,3
2026-02-13,568.8693692114184,568.8693692114184,0
2026-02-16,291.2611170362462,291.2611170362462,3
2026-02-17,572.948887748053,291.2611170362462,3
2026-02-18,573.6329814089347,291.2611170362462,3
2026-02-19,573.9824249785904,291.2611170362462,3
2026-02-20,574.8632140739027,574.8632140739027,0
2026-02-23,568.3730146115921,294.32996560583814,3
2026-02-24,572.3730324200947,294.32996560583814,3
2026-02-25,574.9340462826004,294.32996560583814,3
2026-02-26,573.5109076421558,294.32996560583814,3
2026-02-27,572.72493460766,572.72493460766,0
2026-03-02,578.029128263924,293.2351665191219,3
2026-03-03,580.1842505416532,293.2351665191219,3
2026-03-04,581.6575001722138,293.2351665191219,3
