date,equity,cash,positions
2025-11-05,600.0,600.0,0
2025-11-06,588.2347046578003,307.2,3
2025-11-07,581.5454909344512,581.5454909344512,0
2025-11-10,586.572430317826,297.751291358439,3
2025-11-11,582.1905159301979,297.751291358439,3
2025-11-12,579.4589328816777,297.751291358439,3
2025-11-13,567.1357722472217,297.751291358439,3
2025-11-14,569.0431461300491,569.0431461300491,0
2025-11-17,572.3597467572461,291.3500908185851,3
2025-11-18,566.9408228344764,291.3500908185851,3
2025-11-19,573.7078810258874,291.3500908185851,3
2025-11-20,566.4802645043521,291.3500908185851,3
2025-11-21,563.0389335501554,563.0389335501554,0
2025-11-24,566.0545853812673,288.2759339776796,3
2025-11-25,564.7131171859828,288.2759339776796,3
2025-11-26,569.9732036392573,288.2759339776796,3
2025-11-27,288.2759339776796,288.2759339776796,3
2025-11-28,569.6182182217373,569.6182182217373,0
2025-12-01,569.6182182217373,569.6182182217373,0
2025-12-02,567.0084151340196,291.64452772952944,3
2025-12-03,567.7061101210114,291.64452772952944,3
2025-12-04,569.864376294963,291.64452772952944,3
2025-12-05,574.0481503724554,574.0481503724554,0
2025-12-08,571.2956215280204,459.2385202979643,1
2025-12-09,572.7109785747464,367.3908162383715,2
2025-12-10,568.5313969728879,367.3908162383715,2
2025-12-11,572.3985346302894,293.9126529906972,3
2025-12-12,576.2831713503016,576.2831713503016,0
2025-12-15,568.6723560248997,295.0569837313544,3
2025-12-16,570.5929446293615,295.0569837313544,3
2025-12-17,558.2828332779153,295.0569837313544,3
2025-12-18,562.4237038851735,295.0569837313544,3
2025-12-19,574.36977472599,574.36977472599,0
2025-12-22,570.4245966064215,294.0773246597069,3
2025-12-23,574.6951533845655,294.0773246597069,3
2025-12-24,574.7674327265246,294.0773246597069,3
2025-12-25,294.0773246597069,294.0773246597069,3
2025-12-26,576.0160842151761,576.0160842151761,0
2025-12-29,576.0160842151761,576.0160842151761,0
2025-12-30,575.733240069723,460.8128673721409,1
2025-12-31,575.1035140532499,460.8128673721409,1
2026-01-01,460.8128673721409,460.8128673721409,1
2026-01-02,580.0719751261681,580.0719751261681,0
2026-01-05,581.9023536045863,296.9968512645981,3
2026-01-06,577.2266416827632,296.9968512645981,3
2026-01-07,577.3815033522794,296.9968512645981,3
2026-01-08,578.5256244583962,296.9968512645981,3
2026-01-09,578.6735958658686,578.6735958658686,0
2026-01-12,586.8886103564239,296.28088108332474,3
2026-01-13,585.6408590441866,296.28088108332474,3
2026-01-14,575.680385562835,296.28088108332474,3
2026-01-15,574.0259251194484,296.28088108332474,3
2026-01-16,576.4155325888544,576.4155325888544,0
2026-01-19,576.4155325888544,576.4155325888544,0
2026-01-20,576.4155325888544,576.4155325888544,0
2026-01-21,571.1329030334201,368.9059408568668,2
2026-01-22,572.7829590516371,295.12475268549343,3
2026-01-23,572.1339869390868,572.1339869390868,0
2026-01-26,572.8673646638043,292.9326013128124,3
2026-01-27,575.341079062827,292.9326013128124,3
2026-01-28,574.1424705096764,292.9326013128124,3
2026-01-29,568.4088935085236,292.9326013128124,3
2026-01-30,565.5656860948172,565.5656860948172,0
2026-02-02,560.6957443360723,289.5696312805464,3
2026-02-03,554.898204081178,289.5696312805464,3
2026-02-04,552.5447764071124,289.5696312805464,3
2026-02-05,542.1465969400974,289.5696312805464,3
2026-02-06,548.368330636011,548.368330636011,0
2026-02-09,555.5836686929139,280.7645852856377,3
2026-02-10,553.06921159354,280.7645852856377,3
2026-02-11,553.0048573029003,280.7645852856377,3
2026-02-12,546.4091067103578,280.7645852856377,3
2026-02-13,544.2640153322668,544.2640153322668,0
2026-02-16,278.66317585012064,278.66317585012064,3
2026-02-17,548.1670821162089,278.66317585012064,3
2026-02-18,548.8215866173933,278.66317585012064,3
2026-02-19,549.1559156754274,278.66317585012064,3
2026-02-20,549.9986079271476,549.9986079271476,0
2026-02-23,543.7891295990015,281.5992872586996,3
2026-02-24,547.6161343063811,281.5992872586996,3
2026-02-25,550.0663764244639,281.5992872586996,3
2026-02-26,548.7047929173458,281.5992872586996,3
2026-02-27,547.952815639521,547.952815639521,0
2026-03-02,553.027586568847,280.55184160743477,3
2026-03-03,555.089493164442,280.55184160743477,3
2026-03-04,556.4990202068757,280.55184160743477,3
