ticker,grade,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,components
ADBE,A-,2025-12-08,347.45001220703125,2025-12-12,356.42999267578125,0.3453734228925481,3.101446592000416,2.5845388266670133,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.136847576802966, 'earnings': 0, 'social': 3.625184065088794}"
NFLX,A-,2025-12-11,93.9000015258789,2025-12-12,95.19000244140625,1.0223642006389353,1.3188507548266075,1.3738028696110496,1,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.049754508716356, 'earnings': 0, 'social': 0.995462008008329}"
ORCL,A-,2025-12-12,195.8522828616473,2025-12-12,189.4691619873047,0.39213226865602874,-2.503027669561621,-3.2591506114083604,0,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.322102902906075, 'earnings': 0, 'social': 4.7996917360488345}"
AMD,A-,2025-12-22,220.0,2025-12-26,214.99000549316406,0.5471975178884231,-2.7414565587752593,-2.2772702303799717,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.290157901947271, 'earnings': 0, 'social': 0.49261186663071843}"
AVGO,A,2026-01-06,343.6000061035156,2026-01-09,344.9700012207031,0.3487635637223928,0.4778043793525897,0.39871801305345866,3,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.541063314652812, 'earnings': 0, 'social': 4.557340063791666}"
AMZN,A-,2026-01-07,239.61000061035156,2026-01-09,247.3800048828125,0.40010070470663306,3.1087841849851707,3.242771275267573,2,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 8.9308742657016, 'earnings': 0, 'social': 5.194250958211175}"
AMD,A-,2026-01-07,212.1300048828125,2026-01-09,203.1699981689453,0.36154481833692165,-3.2394439996627105,-4.223828080717287,2,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.847833135836167, 'earnings': 0, 'social': 4.758829708349463}"
ORCL,A-,2026-01-12,197.60000610351562,2026-01-16,191.08999633789062,0.6068045942965169,-3.950303834696441,-3.2945392533108713,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.693969269031338, 'earnings': 0, 'social': 4.532308895155295}"
AMD,A,2026-01-13,215.10000610351562,2026-01-16,231.8300018310547,0.44594918878404743,7.460728023056625,7.777775570814187,3,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.650493619721363, 'earnings': 0, 'social': 5.301264683528201}"
ORCL,A-,2026-01-13,205.0,2026-01-16,191.08999633789062,0.37433628577290323,-5.207019105961505,-6.785367640053354,3,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.004492129803214, 'earnings': 0, 'social': 3.895202238649827}"
NFLX,A-,2026-01-22,85.0199966430664,2026-01-23,86.12000274658203,1.4063194221834123,1.5469599478943206,1.2938204504214519,1,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.47975515366548, 'earnings': 0, 'social': 2.6161155096459154}"
AMD,A-,2026-01-22,251.75,2026-01-23,259.67999267578125,0.3799492275769225,3.012994591853739,3.1499474382447863,1,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 5.649402330323853, 'earnings': 0, 'social': 5.56913527351646}"
NFLX,A-,2026-01-26,86.91999816894531,2026-01-30,83.48999786376953,1.3860707086865358,-4.75422295379003,-3.946157820331442,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 9.153208144499848, 'earnings': 0, 'social': 5.6741007495275735}"
AMD,A-,2026-02-03,251.5500030517578,2026-02-06,208.44000244140625,0.47515967966699324,-20.48413408045853,-17.13774600967961,3,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.086445399444793, 'earnings': 0, 'social': 4.599231211507828}"
