date,equity,cash,positions
2026-01-19,600.0,600.0,0
2026-01-20,600.0,600.0,0
2026-01-21,594.5012277531366,384.0,2
2026-01-22,596.2187970325134,307.2,3
2026-01-23,595.5432717464729,595.5432717464729,0
2026-01-26,596.306656162667,304.91815513419414,3
2026-01-27,598.8815844140753,304.91815513419414,3
2026-01-28,597.6339339063586,304.91815513419414,3
2026-01-29,591.6657633658442,304.91815513419414,3
2026-01-30,588.7062240200496,588.7062240200496,0
2026-02-02,583.6370249959992,301.4175866982654,3
2026-02-03,577.6022740979561,301.4175866982654,3
2026-02-04,575.1525541917324,301.4175866982654,3
2026-02-05,564.3289255289375,301.4175866982654,3
2026-02-06,570.8052260560623,570.8052260560623,0
2026-02-09,578.3157850007492,292.2522757407039,3
2026-02-10,575.6984470313014,292.2522757407039,3
2026-02-11,575.6314596373107,292.2522757407039,3
2026-02-12,568.7658390358821,292.2522757407039,3
2026-02-13,566.5329796591161,566.5329796591161,0
2026-02-16,290.06488558546744,290.06488558546744,3
2026-02-17,570.5957433043762,290.06488558546744,3
2026-02-18,571.2770273408194,290.06488558546744,3
2026-02-19,571.625035719288,290.06488558546744,3
2026-02-20,572.5022073471263,572.5022073471263,0
2026-02-23,566.0386636251962,293.1211301617287,3
2026-02-24,570.0222530578314,293.1211301617287,3
2026-02-25,572.5727486425823,293.1211301617287,3
2026-02-26,571.1554549402393,293.1211301617287,3
2026-02-27,570.3727099564799,570.3727099564799,0
2026-03-02,575.6551188879678,292.0308274977177,3
2026-03-03,577.8013899153992,292.0308274977177,3
2026-03-04,579.2685887982291,292.0308274977177,3
