date,equity,cash,positions
2026-01-05,600.0,600.0,0
2026-01-06,595.4954872120718,480.0,1
2026-01-07,591.4096497598636,307.2,3
2026-01-08,587.5658738070773,307.2,3
2026-01-09,588.2339410332015,588.2339410332015,0
2026-01-12,588.2339410332015,588.2339410332015,0
2026-01-13,589.2471319329444,376.469722261249,2
2026-01-14,585.4165627646793,376.469722261249,2
2026-01-15,585.1489726768882,376.469722261249,2
2026-01-16,587.5714164590529,587.5714164590529,0
2026-01-19,587.5714164590529,587.5714164590529,0
2026-01-20,587.5714164590529,587.5714164590529,0
2026-01-21,587.5714164590529,587.5714164590529,0
2026-01-22,584.561059926998,376.04570653379386,2
2026-01-23,586.4968438936318,586.4968438936318,0
2026-01-26,584.8504405789469,469.1974751149054,1
2026-01-27,584.6885060207424,469.1974751149054,1
2026-01-28,583.4199637364559,469.1974751149054,1
2026-01-29,581.4226953483674,469.1974751149054,1
2026-01-30,581.8680256793706,581.8680256793706,0
2026-02-02,581.8680256793706,581.8680256793706,0
2026-02-03,577.0821940135035,297.91642914783773,3
2026-02-04,562.994737034732,297.91642914783773,3
2026-02-05,554.4727275893341,297.91642914783773,3
2026-02-06,563.8772272540449,563.8772272540449,0
2026-02-09,570.5842251323207,288.705140354071,3
2026-02-10,567.8110624830862,288.705140354071,3
2026-02-11,566.7674016383679,288.705140354071,3
2026-02-12,558.4891711802131,288.705140354071,3
2026-02-13,557.3445498730216,557.3445498730216,0
2026-02-16,445.87563989841726,445.87563989841726,1
2026-02-17,559.3194055879524,445.87563989841726,1
2026-02-18,562.2452469011655,356.7005119187338,2
2026-02-19,562.3260739971898,356.7005119187338,2
2026-02-20,563.1410039526746,563.1410039526746,0
2026-02-23,557.6199539814376,360.41024252971175,2
2026-02-24,561.187251025333,360.41024252971175,2
2026-02-25,564.3796665854671,288.3281940237694,3
2026-02-26,565.0415793731912,288.3281940237694,3
2026-02-27,563.4416598701115,563.4416598701115,0
2026-03-02,564.4336562426171,450.7533278960892,1
2026-03-03,566.927525205751,288.4821298534971,3
2026-03-04,569.5835739655449,288.4821298534971,3
