ticker,grade,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,components
AMZN,A,2026-02-09,208.97000122070312,2026-02-13,198.7899932861328,0.574245103598685,-5.845819711022764,-4.871516425852303,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.327762791262153, 'earnings': 5, 'social': 1.7664013455445344}"
AVGO,A-,2026-02-09,330.7699890136719,2026-02-13,325.1700134277344,0.2902318928215461,-1.6252915140610873,-1.6930119938136325,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.853917944442025, 'earnings': 0, 'social': 5.97891201026151}"
NVDA,A-,2026-02-09,184.25999450683594,2026-02-13,182.80999755859375,0.416802356938911,-0.6043621455815719,-0.7869298770593383,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.927559687010646, 'earnings': 0, 'social': 2.5557189229114137}"
AVGO,A-,2026-02-18,329.5199890136719,2026-02-20,332.6499938964844,0.35926471617160405,1.1245003158393676,0.9498679859092357,2,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.744971571401905, 'earnings': 0, 'social': 3.0681733207252324}"
GOOGL,A-,2026-02-23,319.04998779296875,2026-02-27,311.760009765625,0.37175931649306493,-2.7101172486947744,-2.2849015221007343,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 9.795199999594509, 'earnings': 0, 'social': 5.04031902179123}"
ORCL,A-,2026-02-23,145.69000244140625,2026-02-27,145.39999389648438,0.6512996274359314,-0.18888245726085376,-0.19905864511088256,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 9.672607992425238, 'earnings': 0, 'social': 0.9972218315730481}"
ORCL,A,2026-02-25,149.16000366210938,2026-02-27,145.39999389648438,0.5089184337977158,-1.9135382809859915,-2.520789536947526,2,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 9.367804676546765, 'earnings': 5, 'social': 1.0827053438599665}"
AAPL,A-,2026-03-02,262.4100036621094,2026-03-04,262.5199890136719,0.44833389028542625,0.04931016054042591,0.041913551323341305,2,END_OF_PERIOD,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.326764872963203, 'earnings': 0, 'social': 2.7956341788366776}"
AVGO,A-,2026-03-02,309.3599853515625,2026-03-04,317.5299987792969,0.3042340402439569,2.485596193967008,2.640940591734842,2,END_OF_PERIOD,"{'momentum': 20, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.749078900413497, 'earnings': 0, 'social': 5.36984702411808}"
ADBE,A-,2026-03-02,257.6000061035156,2026-03-04,273.1199951171875,0.2922914161593498,4.536359567583703,6.024840312866772,2,END_OF_PERIOD,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.52797740183463, 'earnings': 0, 'social': 1.3178739868313936}"
